"developer","provider_type","program_year","tot_provs_report_developer","tot_provs_report_2015_edition","tot_provs_report_2014_edition","tot_provs_report_2011_edition","product_type"
"Orchard Software Corporation","hospital",2011,1,0,0,1,"Commercial"
"Orion Health","hospital",2011,3,0,0,3,"Commercial"
"Outcome Sciences, Inc. (Outcome)","hospital",2011,3,0,0,3,"Commercial"
"PatientKeeper","hospital",2011,1,0,0,1,"Commercial"
"PeriGen","hospital",2011,1,0,0,1,"Commercial"
"Picis","hospital",2011,6,0,0,6,"Commercial"
"Prognosis Innovation Healthcare","hospital",2011,15,0,0,15,"Commercial"
"RazorInsights, LLC","hospital",2011,3,0,0,3,"Commercial"
"RWHC QI Program","hospital",2011,1,0,0,1,"Self-developed"
"Siemens Medical Solutions USA, Inc.","hospital",2011,42,0,0,42,"Commercial"
"Sunquest Information Systems, Inc.","hospital",2011,2,0,0,2,"Commercial"
"T-System, Inc.","hospital",2011,41,0,0,41,"Commercial"
"Thomson Reuters (Healthcare) Inc.","hospital",2011,2,0,0,2,"Commercial"
"Trinity Health","hospital",2011,25,0,0,25,"Self-developed"
"UAMS","hospital",2011,1,0,0,1,"Self-developed"
"Wellsoft Corporation","hospital",2011,1,0,0,1,"Commercial"
"WorldVistA","hospital",2011,1,0,0,1,"Commercial"
"3M Health Information Systems","hospital",2012,2,0,0,2,"Commercial"
"Alere Analytics","hospital",2012,1,0,0,1,"Commercial"
"Allscripts","hospital",2012,101,0,0,101,"Commercial"
"Altivance, LLC","hospital",2012,2,0,0,2,"Commercial"
"Amrita Ventures, LLC","hospital",2012,1,0,0,1,"Commercial"
"Aurora Health Care, Inc.","hospital",2012,3,0,0,3,"Self-developed"
"Beth Israel Deaconess Medical Center","hospital",2012,1,0,0,1,"Self-developed"
"Boston Medical Center","hospital",2012,1,0,0,1,"Self-developed"
"Callibra, Inc.","hospital",2012,3,0,0,3,"Commercial"
"CareEvolution, Inc.","hospital",2012,11,0,0,11,"Commercial"
"Cerner Corporation","hospital",2012,390,0,0,390,"Commercial"
"Choice Hospital Systems","hospital",2012,1,0,0,1,"Commercial"
"Clinical Computer Systems Inc.","hospital",2012,1,0,0,1,"Commercial"
"CodoniX","hospital",2012,1,0,0,1,"Commercial"
"Community Health Network (Indianapolis, Indiana)","hospital",2012,3,0,0,3,"Self-developed"
"Corepoint Health","hospital",2012,2,0,0,2,"Commercial"
"CPSI (Computer Programs and Systems), Inc.","hospital",2012,317,0,0,317,"Commercial"
"CredenceHealth","hospital",2012,1,0,0,1,"Commercial"
"Custom Software Systems, Inc.","hospital",2012,2,0,0,2,"Commercial"
"dbMotion","hospital",2012,11,0,0,11,"Commercial"
"Design Clinicals, Inc.","hospital",2012,5,0,0,5,"Commercial"
"Dimensional Insight","hospital",2012,2,0,0,2,"Commercial"
"Dynamic Health IT, Inc","hospital",2012,1,0,0,1,"Commercial"
"eCareSoft, Inc.","hospital",2012,1,0,0,1,"Commercial"
"EHR Doctors, Inc.","hospital",2012,7,0,0,7,"Commercial"
"eMDs","hospital",2012,1,0,0,1,"Commercial"
"Empower Systems","hospital",2012,7,0,0,7,"Commercial"
"EMRConnect","hospital",2012,1,0,0,1,"Commercial"
"Epic Systems Corporation","hospital",2012,370,0,0,370,"Commercial"
"EPOWERdoc, Inc.","hospital",2012,6,0,0,6,"Commercial"
"ExitCare, LLC","hospital",2012,13,0,0,13,"Commercial"
"Forerun, Inc.","hospital",2012,6,0,0,6,"Commercial"
"GE Healthcare","hospital",2012,19,0,0,19,"Commercial"
"Greenway Health, LLC","hospital",2012,1,0,0,1,"Commercial"
"HCA Information Technology & Services, Inc.","hospital",2012,136,0,0,136,"Self-developed"
"Health Care Systems, Inc.","hospital",2012,30,0,0,30,"Commercial"
"Health Management Associates","hospital",2012,43,0,0,43,"Self-developed"
"Healthcare Management Systems, Inc.","hospital",2012,138,0,0,138,"Commercial"
"Healthland","hospital",2012,150,0,0,150,"Commercial"
"HealthPort","hospital",2012,30,0,0,30,"Commercial"
"Hospital Systems","hospital",2012,1,0,0,1,"Commercial"
"Iatric Systems, Inc.","hospital",2012,55,0,0,55,"Commercial"
"Indian Health Service","hospital",2012,20,0,0,20,"Commercial"
"Innovative Workflow Technologies","hospital",2012,1,0,0,1,"Commercial"
"Institute for Health Metrics","hospital",2012,5,0,0,5,"Commercial"
"Interbit Data, Inc.","hospital",2012,1,0,0,1,"Commercial"
"Interface People","hospital",2012,1,0,0,1,"Commercial"
"IOD Incorporated","hospital",2012,1,0,0,1,"Commercial"
"Keane, Inc. Healthcare Solutions Division","hospital",2012,8,0,0,8,"Commercial"
"LCF Research","hospital",2012,1,0,0,1,"Commercial"
"Lester E. Cox Medical Centers (DBA: CoxHealth)","hospital",2012,2,0,0,2,"Self-developed"
"LOGICARE Corporation","hospital",2012,25,0,0,25,"Commercial"
"LSS Data Systems","hospital",2012,1,0,0,1,"Commercial"
"Massachusetts Department of Public Health","hospital",2012,4,0,0,4,"Self-developed"
"McKesson","hospital",2012,200,0,0,200,"Commercial"
"MEDHOST","hospital",2012,71,0,0,71,"Commercial"
"Medical Information Technology, Inc. (MEDITECH)","hospital",2012,561,0,0,561,"Commercial"
"Medicity, Inc.","hospital",2012,3,0,0,3,"Commercial"
"Medisolv Inc","hospital",2012,18,0,0,18,"Commercial"
"Medsphere Systems Corporation","hospital",2012,7,0,0,7,"Commercial"
"Memorial Health System","hospital",2012,1,0,0,1,"Self-developed"
"Meta Healthcare IT Solutions","hospital",2012,2,0,0,2,"Commercial"
"Microsoft Corporation","hospital",2012,3,0,0,3,"Commercial"
"Midas+ Solutions","hospital",2012,59,0,0,59,"Commercial"
"Ministry Health Care","hospital",2012,6,0,0,6,"Self-developed"
"MRO Corporation","hospital",2012,3,0,0,3,"Commercial"
"New Wave Software, Inc.","hospital",2012,13,0,0,13,"Commercial"
"New York University Langone Medical Center","hospital",2012,1,0,0,1,"Self-developed"
"NewYork-Presbyterian Hospital","hospital",2012,1,0,0,1,"Self-developed"
"NextGen Healthcare","hospital",2012,34,0,0,34,"Commercial"
"Northwestern University","hospital",2012,2,0,0,2,"Self-developed"
"Orchard Software Corporation","hospital",2012,1,0,0,1,"Commercial"
"Orion Health","hospital",2012,22,0,0,22,"Commercial"
"Outcome Sciences, Inc. (Outcome)","hospital",2012,20,0,0,20,"Commercial"
"Parkview Health System, Inc.","hospital",2012,6,0,0,6,"Self-developed"
"PatientKeeper","hospital",2012,1,0,0,1,"Commercial"
"PeriGen","hospital",2012,23,0,0,23,"Commercial"
"Pharmacy OneSource","hospital",2012,1,0,0,1,"Commercial"
"Picis","hospital",2012,33,0,0,33,"Commercial"
"Press Ganey Associates","hospital",2012,7,0,0,7,"Commercial"
"Prognosis Innovation Healthcare","hospital",2012,25,0,0,25,"Commercial"
"ProMed Clinical Systems, LLC","hospital",2012,7,0,0,7,"Commercial"
"QuadraMed Corp","hospital",2012,21,0,0,21,"Commercial"
"Quantros, Inc.","hospital",2012,1,0,0,1,"Commercial"
"RazorInsights, LLC","hospital",2012,9,0,0,9,"Commercial"
"Reseller of MEDHOST EDIS v4.3 - Healthcare Management Systems, Inc.","hospital",2012,19,0,0,19,"Commercial"
"Richmond University Medical Center","hospital",2012,1,0,0,1,"Self-developed"
"Roberts-Hoffman Software, Inc. (RHS)","hospital",2012,1,0,0,1,"Commercial"
"RWHC QI Program","hospital",2012,7,0,0,7,"Self-developed"
"SCC Soft Computer","hospital",2012,9,0,0,9,"Commercial"
"Sharp HealthCare","hospital",2012,4,0,0,4,"Self-developed"
"Siemens Medical Solutions USA, Inc.","hospital",2012,130,0,0,130,"Commercial"
"St. Vincent Madison County Health System, Inc.-Saint John's Health System","hospital",2012,1,0,0,1,"Self-developed"
"Summit Healthcare Services, Inc.","hospital",2012,2,0,0,2,"Commercial"
"Sunquest Information Systems, Inc.","hospital",2012,7,0,0,7,"Commercial"
"T-System, Inc.","hospital",2012,68,0,0,68,"Commercial"
"Tech-Time, Inc.","hospital",2012,4,0,0,4,"Commercial"
"The Shams Group","hospital",2012,2,0,0,2,"Commercial"
"The Staywell Company, LLC","hospital",2012,15,0,0,15,"Commercial"
"Thomson Reuters (Healthcare) Inc.","hospital",2012,9,0,0,9,"Commercial"
"Tolven, Inc.","hospital",2012,1,0,0,1,"Commercial"
"Trinity Health","hospital",2012,32,0,0,32,"Self-developed"
"UAMS","hospital",2012,1,0,0,1,"Self-developed"
"UNC Health Care","hospital",2012,1,0,0,1,"Self-developed"
"Unityware","hospital",2012,1,0,0,1,"Commercial"
"UPHS, Penn Medicine","hospital",2012,3,0,0,3,"Self-developed"
"Vanderbilt University","hospital",2012,1,0,0,1,"Self-developed"
"Via Christi Health","hospital",2012,2,0,0,2,"Self-developed"
"Wellsoft Corporation","hospital",2012,9,0,0,9,"Commercial"
"WorldVistA","hospital",2012,1,0,0,1,"Commercial"
"3M Health Information Systems","hospital",2013,3,0,0,3,"Commercial"
"Acmeware, Inc.","hospital",2013,17,0,0,17,"Commercial"
"Alere Analytics","hospital",2013,1,0,0,1,"Commercial"
"ALERT Life Sciences Computing, S.A.","hospital",2013,1,0,0,1,"Commercial"
"Allscripts","hospital",2013,171,0,1,170,"Commercial"
"Altivance, LLC","hospital",2013,2,0,0,2,"Commercial"
"AmkaiSolutions LLC","hospital",2013,1,0,0,1,"Commercial"
"Amrita Ventures, LLC","hospital",2013,2,0,0,2,"Commercial"
"Aurora Health Care, Inc.","hospital",2013,10,0,0,10,"Self-developed"
"Beth Israel Deaconess Medical Center","hospital",2013,1,0,0,1,"Self-developed"
"Boston Medical Center","hospital",2013,1,0,0,1,"Self-developed"
"Brigham and Women's Hospital","hospital",2013,1,0,0,1,"Self-developed"
"Callibra, Inc.","hospital",2013,4,0,0,4,"Commercial"
"CareEvolution, Inc.","hospital",2013,10,0,0,10,"Commercial"
"Carestream Health","hospital",2013,1,0,0,1,"Commercial"
"Catholic Health Initiatives","hospital",2013,3,0,0,3,"Self-developed"
"Cerner Corporation","hospital",2013,591,0,0,591,"Commercial"
"Choice Hospital Systems","hospital",2013,1,0,0,1,"Commercial"
"Clinical Computer Systems Inc.","hospital",2013,1,0,0,1,"Commercial"
"CodoniX","hospital",2013,1,0,0,1,"Commercial"
"Community Health Network (Indianapolis, Indiana)","hospital",2013,3,0,0,3,"Self-developed"
"Community Health Systems","hospital",2013,92,0,0,92,"Self-developed"
"Comparion Medical Analytics, Inc.","hospital",2013,1,0,0,1,"Commercial"
"Corepoint Health","hospital",2013,5,0,0,5,"Commercial"
"CPSI (Computer Programs and Systems), Inc.","hospital",2013,407,0,2,405,"Commercial"
"CredenceHealth","hospital",2013,1,0,0,1,"Commercial"
"Custom Software Systems, Inc.","hospital",2013,3,0,0,3,"Commercial"
"dbMotion","hospital",2013,2,0,0,2,"Commercial"
"Design Clinicals, Inc.","hospital",2013,6,0,0,6,"Commercial"
"Dimensional Insight","hospital",2013,2,0,0,2,"Commercial"
"Draeger Medical Inc.","hospital",2013,1,0,0,1,"Commercial"
"Dynamic Health IT, Inc","hospital",2013,1,0,0,1,"Commercial"
"eCareSoft, Inc.","hospital",2013,1,0,0,1,"Commercial"
"EHR Doctors, Inc.","hospital",2013,10,0,0,10,"Commercial"
"eMDs","hospital",2013,1,0,0,1,"Commercial"
"Emergisoft","hospital",2013,1,0,0,1,"Commercial"
"Empower Systems","hospital",2013,11,0,0,11,"Commercial"
"EMRConnect","hospital",2013,1,0,0,1,"Commercial"
"Epic Systems Corporation","hospital",2013,589,0,6,583,"Commercial"
"EPOWERdoc, Inc.","hospital",2013,6,0,0,6,"Commercial"
"ExitCare, LLC","hospital",2013,28,0,0,28,"Commercial"
"FairWarning Technologies, Inc.","hospital",2013,6,0,0,6,"Commercial"
"Forerun, Inc.","hospital",2013,7,0,0,7,"Commercial"
"Forward Advantage Inc.","hospital",2013,3,0,0,3,"Commercial"
"GE Healthcare","hospital",2013,33,0,0,33,"Commercial"
"GOVIL-GHS, llc","hospital",2013,1,0,0,1,"Self-developed"
"Greenway Health, LLC","hospital",2013,1,0,0,1,"Commercial"
"HCA Information Technology & Services, Inc.","hospital",2013,148,0,0,148,"Self-developed"
"Health Care Systems, Inc.","hospital",2013,50,0,0,50,"Commercial"
"Health Management Associates","hospital",2013,54,0,0,54,"Self-developed"
"Healthcare Management Systems, Inc.","hospital",2013,239,0,0,239,"Commercial"
"HealthIT2, Inc.","hospital",2013,1,0,0,1,"Commercial"
"Healthland","hospital",2013,203,0,0,203,"Commercial"
"HealthPort","hospital",2013,76,0,0,76,"Commercial"
"Healthwise, Incorporated","hospital",2013,7,0,0,7,"Commercial"
"Hill-Rom Holdings, Inc.","hospital",2013,5,0,0,5,"Commercial"
"Holy Name Medical Center","hospital",2013,1,0,0,1,"Self-developed"
"Iatric Systems, Inc.","hospital",2013,83,0,1,82,"Commercial"
"iChartsMD","hospital",2013,1,0,0,1,"Commercial"
"iMDsoft","hospital",2013,2,0,0,2,"Commercial"
"Indian Health Service","hospital",2013,33,0,0,33,"Commercial"
"Innovative Workflow Technologies","hospital",2013,2,0,0,2,"Commercial"
"Inova Health System","hospital",2013,2,0,0,2,"Self-developed"
"Institute for Health Metrics","hospital",2013,18,0,0,18,"Commercial"
"Interbit Data, Inc.","hospital",2013,1,0,0,1,"Commercial"
"Interface People","hospital",2013,5,0,0,5,"Commercial"
"Intermountain Healthcare","hospital",2013,21,0,0,21,"Self-developed"
"IOD Incorporated","hospital",2013,8,0,0,8,"Commercial"
"iPatientCare, Inc.","hospital",2013,1,0,0,1,"Commercial"
"J&H Inc","hospital",2013,1,0,0,1,"Commercial"
"Keane, Inc. Healthcare Solutions Division","hospital",2013,17,0,0,17,"Commercial"
"Lawson Software Americas, Inc.","hospital",2013,7,0,0,7,"Commercial"
"LCF Research","hospital",2013,1,0,0,1,"Commercial"
"Lester E. Cox Medical Centers (DBA: CoxHealth)","hospital",2013,2,0,0,2,"Self-developed"
"LOGICARE Corporation","hospital",2013,42,0,0,42,"Commercial"
"LSS Data Systems","hospital",2013,1,0,0,1,"Commercial"
"M2 Information Systems, Inc.","hospital",2013,1,0,0,1,"Commercial"
"Mardon IHS","hospital",2013,1,0,0,1,"Commercial"
"Marshfield Clinic","hospital",2013,1,0,0,1,"Commercial"
"Massachusetts Department of Public Health","hospital",2013,6,0,0,6,"Self-developed"
"Massachusetts General Hospital","hospital",2013,1,0,0,1,"Self-developed"
"McKesson","hospital",2013,415,0,1,414,"Commercial"
"MEDHOST","hospital",2013,144,0,1,143,"Commercial"
"Medical Information Technology, Inc. (MEDITECH)","hospital",2013,886,0,12,874,"Commercial"
"Medicity, Inc.","hospital",2013,7,0,2,5,"Commercial"
"MediServe","hospital",2013,1,0,0,1,"Commercial"
"Medisolv Inc","hospital",2013,36,0,0,36,"Commercial"
"Mediware Information Systems","hospital",2013,1,0,0,1,"Commercial"
"MedOne Hospital Physicians","hospital",2013,1,0,0,1,"Self-developed"
"MedPlus, A Quest Diagnostics Company","hospital",2013,2,0,0,2,"Commercial"
"MedSeek, Inc.","hospital",2013,21,0,0,21,"Commercial"
"Medsphere Systems Corporation","hospital",2013,10,0,0,10,"Commercial"
"Meta Healthcare IT Solutions","hospital",2013,2,0,0,2,"Commercial"
"Microsoft Corporation","hospital",2013,4,0,0,4,"Commercial"
"Midas+ Solutions","hospital",2013,85,0,0,85,"Commercial"
"Ministry Health Care","hospital",2013,10,0,0,10,"Self-developed"
"Mountain Medical Technologies","hospital",2013,1,0,0,1,"Commercial"
"MRO Corporation","hospital",2013,10,0,0,10,"Commercial"
"Netsmart Technologies","hospital",2013,1,0,0,1,"Commercial"
"New Wave Software, Inc.","hospital",2013,16,0,0,16,"Commercial"
"New York University Langone Medical Center","hospital",2013,1,0,0,1,"Self-developed"
"NewYork-Presbyterian Hospital","hospital",2013,1,0,0,1,"Self-developed"
"NextGen Healthcare","hospital",2013,59,0,0,59,"Commercial"
"Northwestern University","hospital",2013,2,0,0,2,"Self-developed"
"OhioHealth","hospital",2013,2,0,0,2,"Self-developed"
"Omnicell, Inc.","hospital",2013,1,0,0,1,"Commercial"
"Orchard Software Corporation","hospital",2013,2,0,0,2,"Commercial"
"Orion Health","hospital",2013,44,0,0,44,"Commercial"
"Outcome Sciences, Inc. (Outcome)","hospital",2013,28,0,0,28,"Commercial"
"Parkview Health System, Inc.","hospital",2013,6,0,0,6,"Self-developed"
"Partners Healthcare System","hospital",2013,4,0,0,4,"Self-developed"
"PatientKeeper","hospital",2013,2,0,0,2,"Commercial"
"PeaceHealth","hospital",2013,7,0,0,7,"Self-developed"
"PeriGen","hospital",2013,25,0,0,25,"Commercial"
"Persivia","hospital",2013,9,0,0,9,"Commercial"
"Pharmacy OneSource","hospital",2013,1,0,0,1,"Commercial"
"Philips (Healthcare)","hospital",2013,1,0,0,1,"Commercial"
"Picis","hospital",2013,54,0,0,54,"Commercial"
"Press Ganey Associates","hospital",2013,9,0,0,9,"Commercial"
"Prognosis Innovation Healthcare","hospital",2013,34,0,0,34,"Commercial"
"ProMed Clinical Systems, LLC","hospital",2013,97,0,0,97,"Commercial"
"QuadraMed Corp","hospital",2013,32,0,0,32,"Commercial"
"Quantros, Inc.","hospital",2013,2,0,0,2,"Commercial"
"RazorInsights, LLC","hospital",2013,10,0,0,10,"Commercial"
"Regenstrief Institute","hospital",2013,1,0,0,1,"Self-developed"
"Reseller of MEDHOST EDIS v4.3 - Healthcare Management Systems, Inc.","hospital",2013,32,0,0,32,"Commercial"
"Richmond University Medical Center","hospital",2013,1,0,0,1,"Self-developed"
"Roberts-Hoffman Software, Inc. (RHS)","hospital",2013,1,0,0,1,"Commercial"
"RWHC QI Program","hospital",2013,8,0,0,8,"Self-developed"
"Sajix Inc.","hospital",2013,1,0,0,1,"Commercial"
"SCC Soft Computer","hospital",2013,27,0,0,27,"Commercial"
"Sevocity a division of Conceptual MindWorks, Inc","hospital",2013,1,0,0,1,"Commercial"
"Sharp HealthCare","hospital",2013,4,0,0,4,"Self-developed"
"Siemens Medical Solutions USA, Inc.","hospital",2013,203,0,0,203,"Commercial"
"Source Medical Solutions","hospital",2013,2,0,0,2,"Commercial"
"St. Vincent Anderson Regional Hospital","hospital",2013,1,0,0,1,"Self-developed"
"Streamline Health, Inc.","hospital",2013,2,0,0,2,"Commercial"
"Summit Healthcare Services, Inc.","hospital",2013,15,0,0,15,"Commercial"
"Sunquest Information Systems, Inc.","hospital",2013,14,0,0,14,"Commercial"
"Surgical Information Systems","hospital",2013,1,0,0,1,"Commercial"
"T-System, Inc.","hospital",2013,97,0,0,97,"Commercial"
"Tech-Time, Inc.","hospital",2013,9,0,0,9,"Commercial"
"Tenet Healthsystem Medical, Inc.","hospital",2013,37,0,0,37,"Self-developed"
"The Shams Group","hospital",2013,2,0,0,2,"Commercial"
"The Staywell Company, LLC","hospital",2013,19,0,0,19,"Commercial"
"Thomson Reuters (Healthcare) Inc.","hospital",2013,2,0,0,2,"Commercial"
"Trinity Health","hospital",2013,38,0,0,38,"Self-developed"
"Truven Health Analytics","hospital",2013,33,0,0,33,"Commercial"
"UAMS","hospital",2013,1,0,0,1,"Self-developed"
"UNC Health Care","hospital",2013,1,0,0,1,"Self-developed"
"UNI/CARE Systems, Inc","hospital",2013,1,0,0,1,"Commercial"
"UPHS, Penn Medicine","hospital",2013,3,0,0,3,"Self-developed"
"Vanderbilt University","hospital",2013,1,0,0,1,"Self-developed"
"VersaSuite","hospital",2013,2,0,0,2,"Commercial"
"Versaworks, Inc.","hospital",2013,1,0,0,1,"Commercial"
"Via Christi Health","hospital",2013,2,0,0,2,"Self-developed"
"Wellsoft Corporation","hospital",2013,15,0,0,15,"Commercial"
"William N Wishard Memorial Hospital","hospital",2013,1,0,0,1,"Self-developed"
"WorldVistA","hospital",2013,1,0,0,1,"Commercial"
"ACL Laboratories","hospital",2014,14,0,14,0,"Self-developed"
"Acmeware, Inc.","hospital",2014,38,0,37,1,"Commercial"
"Alere Analytics","hospital",2014,21,0,21,0,"Commercial"
"ALERT Life Sciences Computing, S.A.","hospital",2014,1,0,0,1,"Commercial"
"Allscripts","hospital",2014,214,0,196,18,"Commercial"
"AmkaiSolutions LLC","hospital",2014,2,0,2,0,"Commercial"
"Amrita Ventures, LLC","hospital",2014,2,0,0,2,"Commercial"
"Anthelio Healthcare Solutions, Inc.","hospital",2014,2,0,1,1,"Commercial"
"AO Fox Memorial Hospital","hospital",2014,1,0,1,0,"Self-developed"
"Aurora Health Care, Inc.","hospital",2014,12,0,12,0,"Self-developed"
"Beth Israel Deaconess Medical Center","hospital",2014,1,0,1,0,"Self-developed"
"BJC Healthcare","hospital",2014,10,0,10,0,"Self-developed"
"Brigham and Women's Hospital","hospital",2014,1,0,1,0,"Self-developed"
"CareEvolution, Inc.","hospital",2014,15,0,15,0,"Commercial"
"CareFusion Solutions, LLC","hospital",2014,3,0,3,0,"Commercial"
"CareTech Solutions","hospital",2014,1,0,1,0,"Commercial"
"Catholic Health Initiatives","hospital",2014,17,0,17,0,"Self-developed"
"Cerner Corporation","hospital",2014,736,0,670,66,"Commercial"
"Choice Hospital Systems","hospital",2014,1,0,0,1,"Commercial"
"CMR","hospital",2014,3,0,2,1,"Commercial"
"CodoniX","hospital",2014,1,0,1,0,"Commercial"
"Community Health Systems","hospital",2014,61,0,60,1,"Self-developed"
"Comparion Medical Analytics, Inc.","hospital",2014,1,0,0,1,"Commercial"
"Copley Memorial Hospital, Inc.","hospital",2014,1,0,1,0,"Self-developed"
"Corepoint Health","hospital",2014,11,0,10,1,"Commercial"
"CPSI (Computer Programs and Systems), Inc.","hospital",2014,422,0,352,70,"Commercial"
"Custom Software Systems, Inc.","hospital",2014,3,0,0,3,"Commercial"
"Datu Health","hospital",2014,14,0,14,0,"Commercial"
"Dimensional Insight","hospital",2014,9,0,3,6,"Commercial"
"Draeger Medical Inc.","hospital",2014,1,0,1,0,"Commercial"
"DrFirst","hospital",2014,22,0,22,0,"Commercial"
"Dynacare Northwest, Inc.","hospital",2014,4,0,4,0,"Self-developed"
"Dynamic Health IT, Inc","hospital",2014,22,0,22,0,"Commercial"
"EBSCO Publishing","hospital",2014,2,0,2,0,"Commercial"
"eCareSoft, Inc.","hospital",2014,1,0,0,1,"Commercial"
"eClinicalWorks, LLC","hospital",2014,4,0,4,0,"Commercial"
"EDIMS, LLC","hospital",2014,1,0,1,0,"Commercial"
"EHR Doctors, Inc.","hospital",2014,3,0,0,3,"Commercial"
"Empower Systems","hospital",2014,6,0,1,5,"Commercial"
"EMRConnect","hospital",2014,22,0,22,0,"Commercial"
"Epic Systems Corporation","hospital",2014,781,0,774,7,"Commercial"
"EPOWERdoc, Inc.","hospital",2014,6,0,6,0,"Commercial"
"ExitCare, LLC","hospital",2014,22,0,17,5,"Commercial"
"FairWarning Technologies, Inc.","hospital",2014,148,0,145,3,"Commercial"
"FDB (First Databank, Inc.)","hospital",2014,8,0,8,0,"Commercial"
"Forerun, Inc.","hospital",2014,6,0,5,1,"Commercial"
"Forward Advantage Inc.","hospital",2014,2,0,2,0,"Commercial"
"GE Healthcare","hospital",2014,21,0,10,11,"Commercial"
"Get Real Health","hospital",2014,34,0,34,0,"Commercial"
"GOVIL-GHS, llc","hospital",2014,1,0,0,1,"Self-developed"
"Greenway Health, LLC","hospital",2014,1,0,1,0,"Commercial"
"HCA Information Technology & Services, Inc.","hospital",2014,135,0,127,8,"Self-developed"
"Health Care Systems, Inc.","hospital",2014,54,0,36,18,"Commercial"
"Health Monitoring Systems, Inc.","hospital",2014,1,0,1,0,"Commercial"
"Health One Alliance","hospital",2014,1,0,0,1,"Commercial"
"Healthcare Management Systems, Inc.","hospital",2014,173,0,144,29,"Commercial"
"HEALTHEC LLC","hospital",2014,1,0,1,0,"Commercial"
"HealthIT2, Inc.","hospital",2014,1,0,0,1,"Commercial"
"Healthland","hospital",2014,198,0,144,54,"Commercial"
"HealthPort","hospital",2014,10,0,0,10,"Commercial"
"HealthUnity Corporation","hospital",2014,1,0,1,0,"Commercial"
"Healthwise, Incorporated","hospital",2014,7,0,0,7,"Commercial"
"Hill-Rom Holdings, Inc.","hospital",2014,2,0,2,0,"Commercial"
"Holy Name Medical Center","hospital",2014,1,0,1,0,"Self-developed"
"Iatric Systems, Inc.","hospital",2014,167,0,150,17,"Commercial"
"iChartsMD","hospital",2014,1,0,0,1,"Commercial"
"Indian Health Service","hospital",2014,35,0,0,35,"Commercial"
"Indiana Health Information Exchange","hospital",2014,5,0,4,1,"Self-developed"
"Infor (US), Inc.","hospital",2014,1,0,1,0,"Commercial"
"Innovative Workflow Technologies","hospital",2014,2,0,0,2,"Commercial"
"INTEGRIS Health","hospital",2014,7,0,7,0,"Self-developed"
"InteliChart LLC","hospital",2014,7,0,7,0,"Commercial"
"Interface People","hospital",2014,6,0,6,0,"Commercial"
"Intermountain Healthcare","hospital",2014,21,0,20,1,"Self-developed"
"InterSystems Corporation","hospital",2014,18,0,16,2,"Commercial"
"iPatientCare, Inc.","hospital",2014,1,0,0,1,"Commercial"
"Keane, Inc. Healthcare Solutions Division","hospital",2014,7,0,0,7,"Commercial"
"Lawson Software Americas, Inc.","hospital",2014,7,0,0,7,"Commercial"
"LCF Research","hospital",2014,1,0,0,1,"Commercial"
"Lester E. Cox Medical Centers (DBA: CoxHealth)","hospital",2014,3,0,2,1,"Self-developed"
"LOGICARE Corporation","hospital",2014,22,0,17,5,"Commercial"
"LSS Data Systems","hospital",2014,1,0,1,0,"Commercial"
